BJD_TDB,Norm_Flux,Err_Flux,AM
2460097.7480044,0.99888636,0.004132088,1.6485401
2460097.7499741,0.99794457,0.004132088,1.6293298
2460097.7519445,1.00184812,0.004132088,1.6107040
2460097.7539258,1.00444169,0.004132088,1.5925871
2460097.7559026,0.99591432,0.004132088,1.5750775
2460097.7578727,0.99577341,0.004132088,1.5580113
2460097.7598375,1.00058229,0.004132088,1.5414149
2460097.7618158,1.00062599,0.004132088,1.5251942
2460097.7637928,1.00176815,0.004132088,1.5094394
2460097.7657683,0.99951046,0.004132088,1.4940237
2460097.7677453,0.99484408,0.004132088,1.4791517
2460097.7697106,1.00941722,0.004132088,1.4646706
2460097.7716864,0.99525410,0.004132088,1.4504154
2460097.7736727,1.00443818,0.004132088,1.4366081
2460097.7756443,0.99837336,0.004132088,1.4231209
2460097.7776251,1.00149102,0.004132088,1.4100044
2460097.7796086,0.99385333,0.004132088,1.3971967
2460097.7815871,0.99249021,0.004132088,1.3847606
2460097.7835646,1.00385116,0.004132088,1.3726207
2460097.7855391,0.99914280,0.004132088,1.3608108
2460097.7875123,1.00013088,0.004132088,1.3493125
2460097.7895004,1.00066135,0.004132088,1.3380455
2460097.7914822,0.99839208,0.004132088,1.3270915
2460097.7979055,1.00188792,0.004132088,1.2935685
2460097.7998809,0.99016094,0.004132088,1.2837581
2460097.8018630,1.00334244,0.004132088,1.2741182
2460097.8038273,1.00304390,0.004132088,1.2648243
2460097.8058025,1.00408105,0.004132088,1.2557485
2460097.8077731,0.99887543,0.004132088,1.2469121
2460097.8097474,1.00194254,0.004132088,1.2382928
2460097.8117237,1.00613248,0.004132088,1.2299057
2460097.8136892,0.99986912,0.004132088,1.2217095
2460097.8156624,0.99733267,0.004132088,1.2137370
2460097.8176391,1.00553912,0.004132088,1.2059410
2460097.8196155,0.99803724,0.004132088,1.1983019
2460097.8216144,0.99579303,0.004132088,1.1908614
2460097.8235925,0.99462575,0.004132088,1.1836636
2460097.8255704,1.00138504,0.004132088,1.1765793
2460097.8275577,0.99307006,0.004132088,1.1697188
2460097.8295374,1.00299049,0.004132088,1.1630699
2460097.8315126,0.99912834,0.004132088,1.1565878
2460097.8334879,0.99306686,0.004132088,1.1502699
2460097.8354652,1.00361758,0.004132088,1.1441099
2460097.8374457,1.00484767,0.004132088,1.1381331
2460097.8394179,0.99736364,0.004132088,1.1323116
2460097.8413983,1.00016229,0.004132088,1.1266291
2460097.8433768,0.99291648,0.004132088,1.1211046
2460097.8497686,0.99703206,0.004132088,1.1043763
2460097.8517469,0.99559525,0.004132088,1.0994362
2460097.8537177,0.99314359,0.004132088,1.0947017
2460097.8556925,0.99322123,0.004132088,1.0900969
2460097.8576646,0.99593331,0.004132088,1.0856390
2460097.8596371,0.99826781,0.004132088,1.0813084
2460097.8616176,0.99058875,0.004132088,1.0770912
2460097.8635926,0.99775736,0.004132088,1.0730074
2460097.8655765,1.00126536,0.004132088,1.0690549
2460097.8675474,0.99931683,0.004132088,1.0652307
2460097.8763280,0.99731624,0.004132088,1.0568809
2460097.8781686,1.00349942,0.004132088,1.0536760
2460097.8800249,0.99443771,0.004132088,1.0505560
2460097.8818819,0.99859675,0.004132088,1.0475635
2460097.8837292,0.98655076,0.004132088,1.0446676
2460097.8855806,0.98485028,0.004132088,1.0418693
2460097.8874336,0.98914459,0.004132088,1.0391686
2460097.8892886,0.99851849,0.004132088,1.0365661
2460097.8911438,0.99193843,0.004132088,1.0340751
2460097.8929929,0.99674868,0.004132088,1.0316709
2460097.8948414,0.99054369,0.004132088,1.0293713
2460097.8966865,0.99263863,0.004132088,1.0271572
2460097.8985382,1.00067445,0.004132088,1.0250404
2460097.9026917,0.99472850,0.004132088,1.0166331
2460097.9046748,0.99415739,0.004132088,1.0149001
2460097.9066461,0.99628333,0.004132088,1.0132815
2460097.9086295,0.99482127,0.004132088,1.0117564
2460097.9106047,0.99240567,0.004132088,1.0103424
2460097.9125751,0.99057622,0.004132088,1.0090247
2460097.9145562,0.99254346,0.004132088,1.0078030
2460097.9165359,0.99022100,0.004132088,1.0066873
2460097.9185038,0.99653075,0.004132088,1.0056654
2460097.9204787,0.99738965,0.004132088,1.0047390
2460097.9224626,0.99312756,0.004132088,1.0039122
2460097.9244344,0.99766359,0.004132088,1.0031823
2460097.9264094,0.99866361,0.004132088,1.0025498
2460097.9283781,0.99921919,0.004132088,1.0020128
2460097.9303514,0.99206194,0.004132088,1.0015720
2460097.9323305,0.98600400,0.004132088,1.0012254
2460097.9343149,0.98970185,0.004132088,1.0009750
2460097.9363039,0.99219673,0.004132088,1.0008217
2460097.9382752,1.00211520,0.004132088,1.0007644
2460097.9402688,0.98823136,0.004132088,1.0008034
2460097.9422510,0.99126385,0.004132088,1.0009377
2460097.9442222,0.99408530,0.004132088,1.0011677
2460097.9461981,0.99119394,0.004132088,1.0014934